Date	Tmax	Tmin	Rh	Rad	Prec	LAI	NEE	RE	GEE
2003/1/1	6.591	-0.62	88.40916667	248.3499605	0	2.8	1.085167452	1.286370033	2.371537485
2003/1/2	4.998	3.223	99.03125	16.98138871	9.2	2.8	-0.969373731	1.280042016	0.310668285
2003/1/3	5.886	1.486	92.81354167	255.0326091	0	2.8	1.212418846	1.217456266	2.429875112
2003/1/4	5.225	-1.167	94.99270833	294.6329726	0.1	2.8	2.015851445	1.153759847	3.169611291
2003/1/5	4.168	0.211	58.88354167	220.359016	0	2.8	0.825896587	1.154936203	1.98083279
2003/1/6	-0.017	-2.294	95.58229167	63.43475154	0	2.8	-0.133134863	0.997749871	0.864615007
2003/1/7	0.37	-4.092	99.77708333	152.3584578	0.2	2.8	1.194759569	0.982806448	2.177566017
2003/1/8	1.306	-6.064	98.66041667	305.0679115	3.9	2.8	1.526901015	0.839817221	2.366718236
2003/1/9	2.105	-0.661	99.56875	135.4051749	9.6	2.8	0.68604747	0.767884452	1.453931923
2003/1/10	7.986	-0.548	92.38291667	551.2654075	5.7	2.8	2.075028514	0.708253808	2.783282322
2003/1/11	9.71	-2.312	90.43854167	581.1375627	0	2.8	1.280495461	0.804796554	2.085292015
2003/1/12	12.63	-1.738	82.52604167	622.6349873	0	2.8	2.046532943	0.96405377	3.010586713
2003/1/13	15.26	-1.127	77.68458333	631.0765373	0	2.8	1.328495582	1.072170733	2.400666315
2003/1/14	15.01	0.915	79.79833333	596.8172598	0.8	2.8	1.712426797	1.18093548	2.893362278
2003/1/15	8.72	1.536	85.994375	216.899304	0	2.8	0.625129025	1.209820224	1.834949248
2003/1/16	13.42	0.828	84.59875	521.3615515	0	2.8	1.687561357	1.2588035	2.946364856
2003/1/17	17.84	2.364	86.42666667	587.5458528	0	2.8	1.430637694	1.426487411	2.857125104
2003/1/18	17.23	3.628	88.65479167	497.9743238	0	2.8	1.305669859	1.647157976	2.952827835
2003/1/19	16.34	4.291	84.73145833	573.2301049	0	2.8	0.760373591	1.752970226	2.513343817
2003/1/20	14.83	1.515	83.52875	447.3359718	0	2.8	1.041155074	1.679205933	2.720361007
2003/1/21	16.49	7.589	81.40854167	444.0783113	0	2.8	1.63244957	1.804161151	3.436610721
2003/1/22	12.34	4.949	92.26229167	139.041692	0	2.8	0.043956145	1.748019187	1.791975332
2003/1/23	11.13	2.489	91.06958333	364.6207919	0.2	2.8	1.194308905	1.625895903	2.820204808
2003/1/24	8.55	2.32	96.92083333	173.8018904	2.6	2.8	0.371230235	1.521365654	1.892595889
2003/1/25	7.805	6.029	100	43.36433724	18.8	2.8	-0.619397878	1.334558286	0.715160408
2003/1/26	7.888	5.743	100	58.91870202	5.7	2.8	-0.3700883	1.407958775	1.037870474
2003/1/27	8.86	1.172	87.040625	436.7304372	0.5	2.8	1.87444046	1.404838742	3.279279202
2003/1/28	10.62	-1.857	78.52041667	656.5127119	0	2.8	2.33364423	1.324547939	3.658192169
2003/1/29	9.66	4.386	79.089375	212.3116827	0	2.8	1.021213504	1.438485049	2.459698553
2003/1/30	13.36	5.869	84.49166667	268.834282	0	2.8	0.865517487	1.570086828	2.435604315
2003/1/31	16.98	5.781	83.60541667	364.0449495	0.3	2.8	0.437581907	1.831512002	2.269093909
2003/2/1	5.876	3.685	95.37916667	126.3479931	5.1	2.8	0.378974794	1.325716267	1.704691061
2003/2/2	6.646	4.394	94.28541667	83.16421937	2.1	3	0.115153745	1.377335991	1.492489737
2003/2/3	6.247	4.967	98.18125	99.00103129	0.7	3	-0.057441321	1.365886605	1.308445284
2003/2/4	11.97	2.271	85.71895833	528.7168606	0.1	3	2.754580282	1.456604887	4.211185169
2003/2/5	11.73	-0.308	75.35104167	728.4889362	0	3	1.989787103	1.355515213	3.345302316
2003/2/6	11.59	-1.34	76.28625	632.9977824	0	3	2.061507226	1.342156474	3.4036637
2003/2/7	16.97	5.543	83.17041667	252.6938619	0.1	3	0.3107468	1.660392983	1.971139783
2003/2/8	21.81	9.1	84.601875	680.2882738	0	3	1.947101779	1.948274218	3.895375997
2003/2/9	24.64	11.65	74.27895833	743.5623156	0	3	1.221765057	2.181374967	3.403140024
2003/2/10	22.28	8.22	86.061875	636.269169	0.4	2.8	1.481018003	2.86650075	4.347518754
2003/2/11	7.71	2.306	98.98125	54.34562384	0.7	2.8	-0.476307049	1.996524795	1.520217747
2003/2/12	2.467	1.188	99.86666667	65.55175698	10.5	2.8	0.005049143	1.464315241	1.469364384
2003/2/13	3.787	1.408	99.79791667	111.2011627	9.7	2.8	0.274658478	1.242873234	1.517531712
2003/2/14	6.42	3.619	99.34166667	129.1622516	1.5	2.8	0.360242598	1.336686075	1.696928672
2003/2/15	7.305	5.842	100	75.24663044	10.9	2.8	-0.247945229	1.299162481	1.051217251
2003/2/16	7.311	5.468	98.7	101.7679838	4.6	2.8	0.192136596	1.273731652	1.465868247
2003/2/17	11.23	6.276	92.548125	305.830527	0	2.8	2.214880195	1.58168324	3.796563435
2003/2/18	13.47	9.2	93.0375	227.5126005	0	2.8	1.394167253	1.736140514	3.130307767
